Face	Pavg	Qavg	Pmin	Pmin_Time	Pmax	Pmax_Time	Qmin	Qmin_Time	Qmax	Qmax_Time
SMA	-0.000562	-0.000001	-0.000562	00010	-0.000562	00010	-0.000001	00010	-0.000001	00010
hepatic	0.000385	0.000000	0.000385	00010	0.000385	00010	0.000000	00010	0.000000	00010
inflow	-3.057896	4.998001	-3.057896	00010	-3.057896	00010	4.998001	00010	4.998001	00010
left_external_iliac	-0.000003	-0.000000	-0.000003	00010	-0.000003	00010	-0.000000	00010	-0.000000	00010
left_internal_iliac	-0.000030	-0.000000	-0.000030	00010	-0.000030	00010	-0.000000	00010	-0.000000	00010
left_renal	0.000255	0.000002	0.000255	00010	0.000255	00010	0.000002	00010	0.000002	00010
right_external_iliac	-0.000002	-0.000000	-0.000002	00010	-0.000002	00010	-0.000000	00010	-0.000000	00010
right_internal_iliac	0.000167	0.000000	0.000167	00010	0.000167	00010	0.000000	00010	0.000000	00010
right_renal	-0.000084	-0.000000	-0.000084	00010	-0.000084	00010	-0.000000	00010	-0.000000	00010
splenic	0.000723	0.000000	0.000723	00010	0.000723	00010	0.000000	00010	0.000000	00010
