Face	Pavg	Qavg	Pmin	Pmin_Time	Pmax	Pmax_Time	Qmin	Qmin_Time	Qmax	Qmax_Time
SMA	-0.749547	-0.000014	-0.749547	00010	-0.749547	00010	-0.000014	00010	-0.000014	00010
hepatic	0.513594	0.000004	0.513594	00010	0.513594	00010	0.000004	00010	0.000004	00010
inflow	-4076.860026	83.300019	-4076.860026	00010	-4076.860026	00010	83.300019	00010	83.300019	00010
left_external_iliac	-0.003881	-0.000000	-0.003881	00010	-0.003881	00010	-0.000000	00010	-0.000000	00010
left_internal_iliac	-0.039604	-0.000000	-0.039604	00010	-0.039604	00010	-0.000000	00010	-0.000000	00010
left_renal	0.339609	0.000026	0.339609	00010	0.339609	00010	0.000026	00010	0.000026	00010
right_external_iliac	-0.002579	-0.000000	-0.002579	00010	-0.002579	00010	-0.000000	00010	-0.000000	00010
right_internal_iliac	0.222158	0.000002	0.222158	00010	0.222158	00010	0.000002	00010	0.000002	00010
right_renal	-0.112245	-0.000008	-0.112245	00010	-0.112245	00010	-0.000008	00010	-0.000008	00010
splenic	0.964437	0.000000	0.964437	00010	0.964437	00010	0.000000	00010	0.000000	00010
