Face	Pavg	Qavg	Pmin	Pmin_Time	Pmax	Pmax_Time	Qmin	Qmin_Time	Qmax	Qmax_Time
aorta_outlet	0.000000	0.000000	0.000000	00010	0.000000	00010	0.000000	00010	0.000000	00010
inflow	-0.463028	4.998000	-0.463028	00010	-0.463028	00010	4.998000	00010	4.998000	00010
lca_br1	-0.000003	-0.000000	-0.000003	00010	-0.000003	00010	-0.000000	00010	-0.000000	00010
lca_br2	-0.000006	-0.000000	-0.000006	00010	-0.000006	00010	-0.000000	00010	-0.000000	00010
lca_br3	-0.000001	0.000000	-0.000001	00010	-0.000001	00010	0.000000	00010	0.000000	00010
lca_br4	-0.000001	0.000000	-0.000001	00010	-0.000001	00010	0.000000	00010	0.000000	00010
lca_br5	-0.002701	-0.000000	-0.002701	00010	-0.002701	00010	-0.000000	00010	-0.000000	00010
lca_br6	-0.000004	-0.000000	-0.000004	00010	-0.000004	00010	-0.000000	00010	-0.000000	00010
rca_br1	-0.000004	-0.000000	-0.000004	00010	-0.000004	00010	-0.000000	00010	-0.000000	00010
rca_br2	-0.000003	-0.000000	-0.000003	00010	-0.000003	00010	-0.000000	00010	-0.000000	00010
rca_br3	-0.000000	0.000000	-0.000000	00010	-0.000000	00010	0.000000	00010	0.000000	00010
