Face	Pavg	Qavg	Pmin	Pmin_Time	Pmax	Pmax_Time	Qmin	Qmin_Time	Qmax	Qmax_Time
aorta_outlet	0.000657	0.000002	0.000657	00010	0.000657	00010	0.000002	00010	0.000002	00010
inflow	-617.319989	83.300000	-617.319989	00010	-617.319989	00010	83.300000	00010	83.300000	00010
lca_br1	-0.003701	-0.000000	-0.003701	00010	-0.003701	00010	-0.000000	00010	-0.000000	00010
lca_br2	-0.008009	-0.000000	-0.008009	00010	-0.008009	00010	-0.000000	00010	-0.000000	00010
lca_br3	-0.000730	0.000000	-0.000730	00010	-0.000730	00010	0.000000	00010	0.000000	00010
lca_br4	-0.001628	0.000000	-0.001628	00010	-0.001628	00010	0.000000	00010	0.000000	00010
lca_br5	-3.600680	-0.000007	-3.600680	00010	-3.600680	00010	-0.000007	00010	-0.000007	00010
lca_br6	-0.005247	-0.000000	-0.005247	00010	-0.005247	00010	-0.000000	00010	-0.000000	00010
rca_br1	-0.005517	-0.000000	-0.005517	00010	-0.005517	00010	-0.000000	00010	-0.000000	00010
rca_br2	-0.004311	-0.000000	-0.004311	00010	-0.004311	00010	-0.000000	00010	-0.000000	00010
rca_br3	-0.000034	0.000000	-0.000034	00010	-0.000034	00010	0.000000	00010	0.000000	00010
